Viral ID,Line,Sex,Infection Day,Lifespan,Mean Viral Titre per Well,Viral Titre per Well SD,Viral Titre per Fly,log10(Viral Titre per Fly +1),Ct_Rep1,Ct_Rep2,Ct_Mean,Quantity_Rep1,Quantity_Rep2
100,502,Male,14/12/2015,11,0.308748186,0.03952013,192.9676163,2.287729229,29.28643417,29.52788925,34.03367996,0.336693138,0.280803233
101,502,Male,14/12/2015,9,63.54637146,3.568442165,39716.48216,4.598981709,24.57779121,24.69946861,27.05284023,66.06964111,61.02310181
102,502,Male,14/12/2015,13,0,0,0,0,Undetermined,Undetermined,24.69946861,0,0
103,502,Male,14/12/2015,18,0.266452193,0.096908417,166.5326206,2.224099382,32.26185989,33.00170135,32.26185989,0.334976792,0.197927594
104,502,Male,14/12/2015,18,0.642949864,0.261924309,401.843665,2.605136538,29.73573494,28.84846497,31.36871815,0.45774141,0.828158319
105,502,Male,14/12/2015,20,0.106734953,0.12130941,66.70934563,1.830648617,36.91451645,33.51836014,32.88149071,0.020956246,0.19251366
107,502,Male,14/12/2015,15,0.344832748,0.487667149,215.5204675,2.335498956,29.56267166,Undetermined,31.5405159,0.689665496,0
108,502,Male,14/12/2015,19,0.07254535,0.027936048,45.34084375,1.665963937,31.00789642,31.75105667,31.00789642,0.092299119,0.052791581
109,738,Male,14/12/2015,14,0,0,0,0,Undetermined,Undetermined,31.75105667,0,0
110,738,Male,14/12/2015,8,1089.542358,0.177639863,680963.9738,5.833124774,20.93338203,20.9329052,20.93338203,1089.416748,1089.667969
111,738,Male,14/12/2015,18,0.847311616,0.360971236,529.56976,2.724742494,28.42019463,29.35066605,24.67654991,1.102556825,0.592066407
112,738,Male,14/12/2015,17,0.204743266,0.059614441,127.9645413,2.110470318,31.28471756,30.65956879,30.3176918,0.16258949,0.246897042
113,738,Male,14/12/2015,11,0.417103477,0.28002913,260.6896731,2.417786585,30.46626282,28.96445656,30.5629158,0.21909298,0.615113974
114,738,Male,14/12/2015,16,6.321926117,0.720414396,3951.203823,3.596839334,26.02650642,26.24151802,27.49548149,6.831336021,5.812516212
115,738,Male,14/12/2015,11,0,0,0,0,Undetermined,Undetermined,26.24151802,0,0
116,738,Male,14/12/2015,16,12.75460911,2.528194555,7971.630694,3.901601647,27.3565197,26.95974159,27.3565197,10.96690559,14.54231262
117,738,Male,14/12/2015,16,0.48660548,0.11513851,304.128425,2.484482667,26.99278641,26.5412426,26.976264,0.405190259,0.568020701
118,738,Male,14/12/2015,11,5555944.75,222181.7895,3472465469,9.540637936,8.847288132,8.926831245,17.69426537,5713051,5398838.5
119,818,Female,14/12/2015,13,2.904838204,0.840661546,1815.523878,3.259241111,28.42264938,29.06812668,18.67474031,3.499275684,2.310400724
120,818,Female,14/12/2015,4,7755231,755395.8104,4847019375,9.685474756,7.063828468,7.256966591,18.06597757,8289376.5,7221085.5
121,818,Female,14/12/2015,13,5.717247009,0.072541133,3573.279381,3.553188496,27.67333221,27.64543152,17.4651494,5.665952682,5.768541336
122,818,Female,14/12/2015,13,0.160648763,0.22719166,100.4054769,2.006061412,Undetermined,30.70873642,27.64543152,0,0.321297526
123,818,Female,14/12/2015,13,0.42484346,0.029982509,265.5271625,2.425741476,30.64904022,30.5058136,30.67888832,0.403642625,0.446044296
124,818,Female,14/12/2015,12,0.044708151,0.063226874,27.94259438,1.461537458,31.77004433,Undetermined,31.13792896,0.089416303,0
125,818,Female,14/12/2015,15,0.379671514,0.133489943,237.2946963,2.377114376,32.32043839,31.53077126,32.32043839,0.28527987,0.474063158
126,818,Female,14/12/2015,10,0,0,0,0,Undetermined,Undetermined,31.53077126,0,0
